,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,Function,config,python_func
68,165.88320221967513,3568601498345.652,1728541350761.1753,334556390469.90485,7527518785572.859,7081443598279.653,8531187956982.574,43548090159499.28,54198135256124.586,55759398411650.81,0.0,49681623984780.875,2286135334877.683,1.4012380817842915,AVX2::direct_copy_kernel(float),20,Collation
67,322.655,92713830400000.0,7229977600000.0,850585600000.0,3933958400000.0,106323200000.0,0.0,8080563200000.0,0.0,0.0,0.0,2020140800000.0,4784544000000.0,2.725510884938087,jpeg_idct_16x16,20,Loader
66,303.0037814189774,5593351128993.674,3271582735826.4883,1160884196583.5928,24800707836104.023,8970468791782.307,11714376892798.07,50867834795753.79,105534926962144.78,2216233466205.0405,0.0,85588825766299.4,8653864010895.871,2.559514355688968,__memmove_avx_unaligned_erms,20,Loader
63,751.321,214452369600000.0,15442563200000.0,0.0,8468502400000.0,498147200000.0,498147200000.0,22167550400000.0,0.0,0.0,0.0,1743515200000.0,18431446400000.0,6.346511176279831,ycc_rgb_convert,20,Loader
60,2215.113,326452094400000.0,85036086400000.0,296185012800000.0,144128960000000.0,6485803200000.0,2161934400000.0,63416742400000.01,0.0,0.0,0.0,1441289600000.0,7927092800000.001,18.71136226888739,decode_mcu,20,Loader
65,472.286,56590736000000.01,29233336000000.0,73630488000000.0,17665064000000.0,0.0,0.0,13600535999999.998,0.0,0.0,312656000000.0,0.0,0.0,3.989464393249352,jpeg_fill_bit_buffer,20,Loader
79,3.43,135820800000.0,645926400000.0,34214400000.0,359769600000.0,0.0,269568000000.0,104716800000.0,0.0,0.0,0.0,120268800000.0,73612800000.0,0.0289736788065817,__libc_calloc,20,Loader
71,185.0,34127649600000.0,8273369600000.0,10037544000000.0,7056697600000.0,0.0,425835200000.0,4866688000000.0,0.0,0.0,0.0,1095004800000.0,5049188800000.0,1.5627202854861886,decompress_onepass,20,Loader
75,42.445,5846041600000.0,3950419200000.0,2213971200000.0,1201043200000.0,289408000000.0,0.0,1418099200000.0,0.0,0.0,0.0,2431027200000.0,1070809600000.0,0.3585387163106015,__memset_avx2_unaligned_erms,20,Loader
61,1894.678,471579916800000.06,46293840000000.0,26541801600000.0,23455545600000.0,617251200000.0,0.0,47528342400000.0,0.0,0.0,0.0,5555260800000.0,66045878399999.99,16.00460402737514,jpeg_idct_islow,20,Loader
69,202.955,56515200000000.0,4807040000000.0,1883840000000.0,3572800000000.0,259840000000.0,584640000000.0,6171200000000.0,0.0,0.0,0.0,3053120000000.0,1364160000000.0,1.714388624545132,ImagingUnpackRGB,20,Loader
70,64.42418040245514,3055089499365.488,742556475540.2228,190943093710.343,5770724609912.588,2970225902160.891,2545907916137.9062,19051877572432.0,0.0,0.0,0.0,2970225902160.891,6555712884055.109,0.5441998572472346,AVX2::div_true_kernel(float),20,Normalize
76,36.31,3282451200000.0,3008913600000.0,455896000000.0,1015996800000.0,1367688000000.0,2891683200000.0,11775142400000.0,442870400000.0,0.0,0.0,507998400000.0,1914763200000.0,0.3067155327892081,add_kernel(float),20,Normalize
68,90.82679778032484,1953932901654.3477,946436249238.8247,183181209530.0951,4121577214427.1396,3877335601720.346,4671120843017.425,23844087440500.71,29675355943875.406,30530201588349.184,0.0,27202409615219.12,1251738265122.3164,0.7672263749030572,AVX2::direct_copy_kernel(float),20,Normalize
77,34.225,8203936000000.0,365851200000.0,0.0,986689600000.0,0.0,343678400000.0,2372489600000.0,0.0,0.0,0.0,1263849600000.0,1541009600000.0,0.2891032528149449,ImagingFlipLeftRight,20,RandomHorizontalFlip
64,621.411,185392166400000.0,9668979200000.0,0.0,15764640000000.0,630585600000.0,630585600000.0,15764640000000.0,630585600000.0,0.0,0.0,1261171200000.0,15974835200000.0,5.249143650401393,ImagingResampleVertical_8bpc,20,RandomResizedCrop
66,79.69763654899802,1471192416417.6326,860508771866.9172,305341822275.3578,6523211657700.824,2359459535764.128,3081176570233.1553,13379523485156.586,27758347479577.973,582925297071.1375,0.0,22512019805937.734,2276184493325.3936,0.6732168288671605,__memmove_avx_unaligned_erms,20,RandomResizedCrop
62,900.121,265222156800000.0,15531027200000.0,6869492799999.999,17621742400000.0,896020800000.0,597347200000.0,35840832000000.0,0.0,0.0,0.0,0.0,9557555200000.0,7.603445114011424,ImagingResampleHorizontal_8bpc,20,RandomResizedCrop
78,11.092930933687654,808296269989.2991,1748260710655.5881,303568282394.1712,486440741667.76825,76806432894.91077,526672682707.9596,1199643332834.7966,570562072933.6229,0.0,0.0,98751128007.74243,248706544612.09204,0.09370350375984292,_int_free,20,RandomResizedCrop
66,28.034582032024577,517509254588.6936,302694092306.59436,107407581141.04962,2294616506195.151,829967672453.5652,1083840136968.7733,4706404919089.629,9764325558277.238,205050836723.822,0.0,7918868027762.839,800674695778.7333,0.23681194614362933,__memmove_avx_unaligned_erms,20,ToTensor
70,127.76581959754483,6058843300634.511,1472635524459.777,378677706289.6569,11444481790087.41,5890542097839.108,5049036083862.093,37783620027567.99,0.0,0.0,0.0,5890542097839.108,13001267915944.889,1.0792553409559575,AVX2::div_true_kernel(float),20,ToTensor
78,3.902069066312347,284327730010.70105,614971289344.4122,106783717605.82892,171111258332.23184,27017567105.089237,185263317292.0405,421988667165.2033,200701927066.3772,0.0,0.0,34736871992.2576,87485455387.908,0.03296131073132138,_int_free,20,ToTensor
72,125.49,40297600000000.0,1047737600000.0,0.0,2780534400000.0,161190400000.0,282083200000.0,8462496000000.0,0.0,0.0,0.0,161190400000.0,0.0,1.060031181760334,AVX2::direct_copy_kernel(unsigned char),20,ToTensor
73,86.36,4518144000000.0,1108224000000.0,824064000000.0,9434112000000.0,4518144000000.0,2017536000000.0,18157824000000.0,0.0,0.0,0.0,17305344000000.0,4148736000000.0,0.7294947235383095,"AVX2::copy_kernel(char**long const*, long, long)",20,ToTensor
74,53.61,14363033600000.0,1257676800000.0,546816000000.0,1184768000000.0,182272000000.0,382771200000.0,3499622400000.0,0.0,0.0,0.0,1859174400000.0,1385267200000.0,0.4528509973238625,ImagingPackRGB,20,ToTensor
88,171.48034401178066,3920823593711.9854,2457829715461.2446,0.0,10650595433665.395,5325297716832.697,9772799106714.95,42836460755181.695,58519755130029.63,58519755130029.63,0.0,48512877002794.57,3277106287281.6597,1.3087792750758849,AVX2::direct_copy_kernel(float),24,Collation
87,381.536,108523040000000.0,13656832000000.0,0.0,5121312000000.0,121936000000.0,121936000000.0,11705856000000.0,0.0,0.0,0.0,2804528000000.0,0.0,2.91197461944121,jpeg_idct_16x16,24,Loader
86,322.8706696449898,6804234861587.836,4280083219385.8965,2414405918627.942,26558465104907.36,9328386503789.775,11084318080973.732,53007184486240.72,109745723573997.34,2194914471479.947,0.0,90979204842843.81,6036014796569.8545,2.464226692548535,__memmove_avx_unaligned_erms,24,Loader
83,869.651,249325384000000.03,28886968000000.004,0.0,12340064000000.002,841368000000.0,841368000000.0,31411072000000.0,0.0,0.0,0.0,1402280000000.0,2524104000000.0,6.637385829310125,ycc_rgb_convert,24,Loader
80,2340.983,377007264000000.0,111791520000000.0,306848448000000.0,168072768000000.0,7709760000000.0,3854880000000.0,79410528000000.0,0.0,0.0,0.0,2312928000000.0,0.0,17.866945925268762,decode_mcu,24,Loader
85,542.841,78419968000000.0,38853529600000.0,72716697600000.0,25308262400000.0,178227200000.0,0.0,16753356800000.0,0.0,356454400000.0,0.0,0.0,0.0,4.143093218967767,jpeg_fill_bit_buffer,24,Loader
99,4.395,88580800000.0,432550400000.0,83979200000.0,404940800000.00006,0.0,131145600000.0,195568000000.0,187515200000.0,0.0,0.0,179462400000.0,0.0,0.0335436982419591,__libc_calloc,24,Loader
90,202.855,36831968000000.0,13906649600000.0,13080512000000.0,9362892800000.0,619603200000.0,481913600000.0,6746790400000.001,0.0,0.0,0.0,1514585600000.0002,2753792000000.0,1.54823820406658,decompress_onepass,24,Loader
95,49.1,6436851200000.0,5767673600000.0,2166860800000.0,1402086400000.0,111529600000.0,0.0,2182793600000.0,0.0,0.0,0.0,3154694400000.0,637312000000.0,0.3747430224528312,__memset_avx2_unaligned_erms,24,Loader
81,2059.013,561569843200000.06,72240780800000.0,24534604800000.0,30668256000000.0,1363033600000.0,681516800000.0,63381062400000.01,0.0,681516800000.0,0.0,6815168000000.0,21127020800000.0,15.714882991643,jpeg_idct_islow,24,Loader
89,224.31,68998320000000.0,6560495999999.999,0.0,6032640000000.0,150816000000.0,0.0,8068655999999.999,0.0,0.0,0.0,4298256000000.0,2940912000000.0,1.711987930069136,ImagingUnpackRGB,24,Loader
